TimeOfDay	Time	EMG	Ground	ECG
15:42:49.466	0.0294	0	0	0
15:42:49.466	0.0296	0	0	0
15:42:49.466	0.0298	0	0	0
15:42:49.467	0.03	0	0	0
15:42:49.467	0.0302	0	0	0
15:42:49.467	0.0304	0	0	0
15:42:49.467	0.0306	0	0	0
15:42:49.467	0.0308	0	0	0
15:42:49.468	0.031	0	0	0
15:42:49.468	0.0312	0	0	0
15:42:49.468	0.0314	0	0	0
15:42:49.468	0.0316	0	0	0
15:42:49.468	0.0318	0	0	0
15:42:49.469	0.032	0	0	0
15:42:49.469	0.0322	0	0	0
15:42:49.469	0.0324	0	0	0
15:42:49.469	0.0326	0	0	0
15:42:49.469	0.0328	0	0	0
15:42:49.470	0.033	0	0	0
15:42:49.470	0.0332	0	0	0
15:42:49.470	0.0334	0	0	0
15:42:49.470	0.0336	0	0	0
15:42:49.470	0.0338	0	0	0
15:42:49.471	0.034	0	0	0
15:42:49.471	0.0342	0	0	0
15:42:49.471	0.0344	0	0	0
15:42:49.471	0.0346	0	0	0
15:42:49.471	0.0348	0	0	0
15:42:49.472	0.035	0	0	0
15:42:49.472	0.0352	0	0	0
15:42:49.472	0.0354	0	0	0
15:42:49.472	0.0356	0	0	0
15:42:49.472	0.0358	0	0	0
15:42:49.473	0.036	0	0	0
15:42:49.473	0.0362	0	0	0
15:42:49.473	0.0364	0	0	0
15:42:49.473	0.0366	0	0	0
15:42:49.473	0.0368	0	0	0
15:42:49.474	0.037	0	0	0
15:42:49.474	0.0372	0	0	0
15:42:49.474	0.0374	0	0	0
15:42:49.474	0.0376	0	0	0
15:42:49.474	0.0378	0	0	0
15:42:49.475	0.038	0	0	0
15:42:49.475	0.0382	0	0	0
15:42:49.475	0.0384	0	0	0
15:42:49.475	0.0386	0	0	0
15:42:49.475	0.0388	0	0	0
15:42:49.476	0.039	0	0	0
15:42:49.476	0.0392	0	0	0
15:42:49.476	0.0394	0	0	0
15:42:49.476	0.0396	0	0	0
15:42:49.476	0.0398	0	0	0
15:42:49.477	0.04	0	0	0
15:42:49.477	0.0402	0	0	0
15:42:49.477	0.0404	0	0	0
15:42:49.477	0.0406	0	0	0
15:42:49.477	0.0408	0	0	0
15:42:49.478	0.041	0	0	0
15:42:49.478	0.0412	0	0	0
15:42:49.478	0.0414	0	0	0
15:42:49.478	0.0416	0	0	0
15:42:49.478	0.0418	0	0	0
15:42:49.479	0.042	0	0	0
15:42:49.479	0.0422	0	0	0
15:42:49.479	0.0424	0	0	0
15:42:49.479	0.0426	0	0	0
15:42:49.479	0.0428	0	0	0
15:42:49.480	0.043	0	0	0
15:42:49.480	0.0432	0	0	0
15:42:49.480	0.0434	0	0	0
15:42:49.480	0.0436	0	0	0
15:42:49.480	0.0438	0	0	0
15:42:49.481	0.044	0	0	0
15:42:49.481	0.0442	0	0	0
15:42:49.481	0.0444	0	0	0
15:42:49.481	0.0446	0	0	0
15:42:49.481	0.0448	0	0	0
15:42:49.482	0.045	0	0	0
15:42:49.482	0.0452	0	0	0
15:42:49.482	0.0454	0	0	0
15:42:49.482	0.0456	0	0	0
15:42:49.482	0.0458	0	0	0
15:42:49.483	0.046	0	0	0
15:42:49.483	0.0462	0	0	0
15:42:49.483	0.0464	0	0	0
15:42:49.483	0.0466	0	0	0
15:42:49.483	0.0468	0	0	0
15:42:49.484	0.047	0	0	0
15:42:49.484	0.0472	0	0	0
15:42:49.484	0.0474	0	0	0
15:42:49.484	0.0476	0	0	0
15:42:49.484	0.0478	0	0	0
15:42:49.485	0.048	0	0	0
15:42:49.485	0.0482	0	0	0
15:42:49.485	0.0484	0	0	0
15:42:49.485	0.0486	0	0	0
15:42:49.485	0.0488	0	0	0
15:42:49.486	0.049	0	0	0
15:42:49.486	0.0492	0	0	0
15:42:49.486	0.0494	0	0	0
15:42:49.486	0.0496	0	0	0
15:42:49.486	0.0498	0	0	0
15:42:49.487	0.05	0	0	0
15:42:49.487	0.0502	0	0	0
15:42:49.487	0.0504	0	0	0
15:42:49.487	0.0506	0	0	0
15:42:49.487	0.0508	0	0	0
15:42:49.488	0.051	0	0	0
15:42:49.488	0.0512	0	0	0
15:42:49.488	0.0514	0	0	0
15:42:49.488	0.0516	0	0	0
15:42:49.488	0.0518	0	0	0
15:42:49.489	0.052	0	0	0
15:42:49.489	0.0522	0	0	0
15:42:49.489	0.0524	0	0	0
15:42:49.489	0.0526	0	0	0
15:42:49.489	0.0528	0	0	0
15:42:49.490	0.053	0	0	0
15:42:49.490	0.0532	0	0	0
15:42:49.490	0.0534	0	0	0
15:42:49.490	0.0536	0	0	0
15:42:49.490	0.0538	0	0	0
15:42:49.491	0.054	0	0	0
15:42:49.491	0.0542	0	0	0
15:42:49.491	0.0544	0	0	0
15:42:49.491	0.0546	0	0	0
15:42:49.491	0.0548	0	0	0
15:42:49.492	0.055	0	0	0
15:42:49.492	0.0552	0	0	0
15:42:49.492	0.0554	0	0	0
15:42:49.492	0.0556	0	0	0
15:42:49.492	0.0558	0	0	0
15:42:49.493	0.056	0	0	0
15:42:49.493	0.0562	0	0	0
15:42:49.493	0.0564	0	0	0
15:42:49.493	0.0566	0	0	0
15:42:49.493	0.0568	0	0	0
15:42:49.494	0.057	0	0	0
15:42:49.494	0.0572	0	0	0
15:42:49.494	0.0574	0	0	0
15:42:49.494	0.0576	0	0	0
15:42:49.494	0.0578	0	0	0
15:42:49.495	0.058	0	0	0
15:42:49.495	0.0582	0	0	0
15:42:49.495	0.0584	0	0	0
15:42:49.495	0.0586	0	0	0
15:42:49.495	0.0588	0	0	0
15:42:49.496	0.059	0	0	0
15:42:49.496	0.0592	0	0	0
15:42:49.496	0.0594	0	0	0
15:42:49.496	0.0596	0	0	0
15:42:49.496	0.0598	0	0	0
15:42:49.497	0.06	0	0	0
15:42:49.497	0.0602	0	0	0
15:42:49.497	0.0604	0	0	0
15:42:49.497	0.0606	0	0	0
15:42:49.497	0.0608	0	0	0
15:42:49.498	0.061	0	0	0
15:42:49.498	0.0612	0	0	0
15:42:49.498	0.0614	0	0	0
15:42:49.498	0.0616	0	0	0
15:42:49.498	0.0618	0	0	0
15:42:49.499	0.062	0	0	0
15:42:49.499	0.0622	0	0	0
15:42:49.499	0.0624	0	0	0
15:42:49.499	0.0626	0	0	0
15:42:49.499	0.0628	0	0	0
15:42:49.500	0.063	0	0	0
15:42:49.500	0.0632	0	0	0
15:42:49.500	0.0634	0	0	0
15:42:49.500	0.0636	0	0	0
15:42:49.500	0.0638	0	0	0
15:42:49.501	0.064	0	0	0
15:42:49.501	0.0642	0	0	0
15:42:49.501	0.0644	0	0	0
15:42:49.501	0.0646	0	0	0
15:42:49.501	0.0648	0	0	0
15:42:49.502	0.065	0	0	0
15:42:49.502	0.0652	0	0	0
15:42:49.502	0.0654	0	0	0
15:42:49.502	0.0656	0	0	0
15:42:49.502	0.0658	0	0	0
15:42:49.503	0.066	0	0	0
15:42:49.503	0.0662	0	0	0
15:42:49.503	0.0664	0	0	0
15:42:49.503	0.0666	0	0	0
15:42:49.503	0.0668	0	0	0
15:42:49.504	0.067	0	0	0
15:42:49.504	0.0672	0	0	0
15:42:49.504	0.0674	0	0	0
15:42:49.504	0.0676	0	0	0
15:42:49.504	0.0678	0	0	0
15:42:49.505	0.068	0	0	0
15:42:49.505	0.0682	0	0	0
15:42:49.505	0.0684	0	0	0
15:42:49.505	0.0686	0	0	0
15:42:49.505	0.0688	0	0	0
15:42:49.506	0.069	0	0	0
15:42:49.506	0.0692	0	0	0
15:42:49.506	0.0694	0	0	0
15:42:49.506	0.0696	0	0	0
15:42:49.506	0.0698	0	0	0
15:42:49.507	0.07	0	0	0
15:42:49.507	0.0702	0	0	0
15:42:49.507	0.0704	0	0	0
15:42:49.507	0.0706	0	0	0
