TimeOfDay	Time	EMG	Ground	ECG
15:41:55.597	0.0294	0	0	0
15:41:55.597	0.0296	0	0	0
15:41:55.597	0.0298	0	0	0
15:41:55.598	0.03	0	0	0
15:41:55.598	0.0302	0	0	0
15:41:55.598	0.0304	0	0	0
15:41:55.598	0.0306	0	0	0
15:41:55.598	0.0308	0	0	0
15:41:55.599	0.031	0	0	0
15:41:55.599	0.0312	0	0	0
15:41:55.599	0.0314	0	0	0
15:41:55.599	0.0316	0	0	0
15:41:55.599	0.0318	0	0	0
15:41:55.600	0.032	0	0	0
15:41:55.600	0.0322	0	0	0
15:41:55.600	0.0324	0	0	0
15:41:55.600	0.0326	0	0	0
15:41:55.600	0.0328	0	0	0
15:41:55.601	0.033	0	0	0
15:41:55.601	0.0332	0	0	0
15:41:55.601	0.0334	0	0	0
15:41:55.601	0.0336	0	0	0
15:41:55.601	0.0338	0	0	0
15:41:55.602	0.034	0	0	0
15:41:55.602	0.0342	0	0	0
15:41:55.602	0.0344	0	0	0
15:41:55.602	0.0346	0	0	0
15:41:55.602	0.0348	0	0	0
15:41:55.603	0.035	0	0	0
15:41:55.603	0.0352	0	0	0
15:41:55.603	0.0354	0	0	0
15:41:55.603	0.0356	0	0	0
15:41:55.603	0.0358	0	0	0
15:41:55.604	0.036	0	0	0
15:41:55.604	0.0362	0	0	0
15:41:55.604	0.0364	0	0	0
15:41:55.604	0.0366	0	0	0
15:41:55.604	0.0368	0	0	0
15:41:55.605	0.037	0	0	0
15:41:55.605	0.0372	0	0	0
15:41:55.605	0.0374	0	0	0
15:41:55.605	0.0376	0	0	0
15:41:55.605	0.0378	0	0	0
15:41:55.606	0.038	0	0	0
15:41:55.606	0.0382	0	0	0
15:41:55.606	0.0384	0	0	0
15:41:55.606	0.0386	0	0	0
15:41:55.606	0.0388	0	0	0
15:41:55.607	0.039	0	0	0
15:41:55.607	0.0392	0	0	0
15:41:55.607	0.0394	0	0	0
15:41:55.607	0.0396	0	0	0
15:41:55.607	0.0398	0	0	0
15:41:55.608	0.04	0	0	0
